;German Original;English Translation;
Group 1: final list of adjective pairs that are loading on the underlying factors;direkt -- umständlich;direct -- ponderous;
;eindeutig -- mehrdeutig;unambiguous -- ambiguous;
;einfach -- kompliziert;simple -- complicated;
;grammatisch -- ungrammatisch;grammatical -- ungrammatical;
;klar -- wirr;clear -- chaotic;
;präzise -- ungenau;precise -- vague;
;übersichtlich -- verwirrend;neat -- confusing;
;vollständig -- lückenhaft;complete -- incomplete;
Group 2: list of adjective pairs that were removed during the factor analysis for the sake of interpretability;flüssig -- holprig;fluent -- non-fluent;
;formell -- informell;formal -- informal;
;geordnet -- durcheinander;orderly -- messy;
;geschrieben -- gesprochen;written -- spoken;
;höflich -- unhöflich;polite -- impolite;
;kongruent -- inkongruent;congruent -- incongruent;
;konsistent -- inkonsistent;consistent -- inconsistent;
;logisch -- unlogisch;logical -- illogical;
;menschlich -- technisch;human -- technical;
;muttersprachlich -- fremdprachlich;native -- foreign-language;
;persönlich -- unpersönlich;personal -- impersonal;
;professionell -- laienhaft;professional -- unprofessional;
