fold;sentence;sprachliche logik;komplexität;eindeutigkeit;vorhersehbarkeit;average_sentence_length;percentage_words_six_letters;average_number_syllables;percentage_words_one_syllable;percentage_words_three_syllables;flesch_reading_ease;wiener_sachtextformel_1;wiener_sachtextformel_2;wiener_sachtextformel_3;wiener_sachtextformel_4;smog_index;coleman_liau_index;gunning_fog_index;average_chars_per_word;type_token_ratio;root_type_token_ratio;corrected_type_token_ratio;mtld_measure;herdans_measure;summers_measure;maas_measure;yules_k;simpsons_d;lexical_density;number_unique_tokens;content_word_distribution;foreign_words_count;adjective_count;verb_count;adverb_count;noun_count;proper_noun_count;adposition_count;aux_verb_count;conjunction_count;determiner_count;lexical_item_count;grammatical_item_count;numerical_count;particle_count;punctuation_count;personal_pronoun_count;first_person_pronoun_count;second_person_pronoun_count;third_person_pronoun_count;interrogative_pronoun_count;demonstrative_count;singular_word_count;plural_word_count;indefinite_word_count;definite_word_count;finite_verb_count;infinitive_verb_count;past_tense_count;present_tense_count;passive_voice_count;bilogarithmic_ttr;avg_aux_length;noun_variation;modifier_variation;adjective_variation;adverb_variation;verb_variation;sein_to_verb_ratio;haben_to_verb_ratio;noun_token_ratio;verb_token_ratio;noun_phrases_per_sentence_count;verb_phrases_per_sentence_count;first_person_verbs_to_finite_verbs_ratio;infinitive_verbs_to_verbs_ratio;participle_verbs_to_verbs_ratio;imperative_verbs_to_verbs_ratio;present_tense_verbs_to_finite_verbs_ratio;past_tense_verbs_to_finite_verbs_ratio;second_person_verbs_to_finite_verbs_ratio;third_person_verbs_to_finite_verbs_ratio;subjunctive_verbs_to_finite_verbs_ratio;finite_verbs_to_verbs_ratio;accusative_nouns_to_nouns_ratio;dative_nouns_to_nouns_ratio;genitive_nouns_to_nouns_ratio;nominative_nouns_to_nouns_ratio;std_dev_tokens_per_sentence;pronouns_per_sentence_count;aux_to_verb_ratio;verbs_per_sentence_count;verb_to_noun_ratio;verb_to_adverb_ratio;noun_to_pronoun_ratio;characters_per_sentence_count;avg_sentence_length_in_characters;zipf_steepness_curve;zipf_goodness_fit;avg_adjective_length;avg_adverb_length;avg_lexical_verb_length;avg_noun_length;avg_proper_noun_length;avg_adposition_length;avg_conjunction_length;avg_determiner_length;avg_numeral_length;avg_particle_length;avg_pronoun_length;avg_verb_length;adjective_ttr;adverb_ttr;lexical_verb_ttr;noun_ttr;verb_ttr;proper_noun_ttr;lexical_items_ttr;adposition_ttr;aux_ttr;conjunction_ttr;determiner_ttr;particle_ttr;pronoun_ttr;grammatical_ttr;aux_to_lexical_verb_ratio;overall
5;1841 wird die Gesellschaft als Royal Mail Steam Packet Company gegründet, um einen Liniendienst von London nach Westindien zu unterhalten. Die Schiffe der Reederei waren leicht daran zu erkennen, dass sie alle nach Flüssen benannt wurden. 1850 erweiterte die Royal Mail Line ihren Liniendienst nach Südamerika. Die Linienverbindung war Southampton–Vigo–Lissabon–Las Palmas–Rio de Janeiro/Santos–Montevideo und Buenos Aires.;4.9375;3.625;4.75;3.6875;12.4;41.935483870967744;1.8548387096774197;48.38709677419355;24.193548387096776;2123.491935483871;9.736505806451614;10.500647741935484;12.745264516129032;14.394407741935485;15.695466400679596;15.575483870967744;20.568740894901147;5.741935483870968;0.8363636363636363;6.202638734661827;4.385927910529725;94.1111111111111;0.955408801693386;0.9671384541569776;0.0111273997557623;85.95041322314052;0.0087542087542087;0.8709677419354839;54.0;0.2058823529411764;0.0588235294117647;0.0147058823529411;0.1323529411764706;0.0147058823529411;0.4411764705882353;0.3382352941176471;0.088235294117647;0.0588235294117647;0.0147058823529411;0.1176470588235294;0.6029411764705882;0.3382352941176471;0.0294117647058823;0.0294117647058823;0.088235294117647;0.0147058823529411;0.0;0.0;0.0147058823529411;0.0;0.0;0.0735294117647058;0.0294117647058823;0.0147058823529411;0.0735294117647058;0.0147058823529411;0.0294117647058823;0.0147058823529411;0.0;0.0;0.956474836862492;4.5;0.6585365853658537;0.048780487804878;0.024390243902439;0.024390243902439;0.2195121951219512;0.2222222222222222;0.0;0.1707317073170731;0.2195121951219512;7.5;2.25;0.0;0.2222222222222222;0.2222222222222222;0.0;0.2;0.8;0.0;1.0;0.0;0.5555555555555556;0.0666666666666666;0.1333333333333333;0.0333333333333333;0.4;3.570714214271425;0.25;0.8;2.25;0.3;9.0;30.0;104.75;104.75;0.3486529296245939;-0.6192639147912129;6.0;5.0;9.0;10.571428571428571;6.217391304347826;3.333333333333333;3.5;3.625;4.0;2.0;3.0;7.0;1.0;1.0;1.0;0.8571428571428571;1.0;0.9130434782608696;0.9285714285714286;0.6666666666666666;1.0;1.0;0.625;0.5;1.0;0.7391304347826086;0.8;
3;35,2 Vol. ist ein deutscher Kriminalfilm aus dem Jahr 2012. Der Film basiert auf dem gleichnamigen Roman von Gasgemischen.;2.269230769230769;4.1923076923076925;3.0961538461538463;2.4615384615384617;5.0;25.0;1.6;70.0;15.0;806.4;3.817;4.381;5.018999999999998;4.307999999999999;14.191785591663535;7.679999999999996;32.0;5.0;0.9411764705882352;3.880570000581328;2.743977362280141;80.91999999999999;0.978602168472904;0.9792300318154898;0.0075524956749149;69.20415224913489;0.0073529411764705;0.95;19.0;0.4285714285714285;0.0;0.0952380952380952;0.0952380952380952;0.0;0.2857142857142857;0.0;0.1428571428571428;0.0476190476190476;0.0;0.1904761904761904;0.4761904761904761;0.3809523809523809;0.0952380952380952;0.0;0.0952380952380952;0.0;0.0;0.0;0.0;0.0;0.0;0.1904761904761904;0.0952380952380952;0.0476190476190476;0.1428571428571428;0.0476190476190476;0.0;0.0;0.0476190476190476;0.0;0.981637513409912;3.0;0.6;0.2;0.2;0.0;0.2;0.5;0.0;0.6;0.2;3.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.5;0.0;0.5;2.6246692913372702;0.0;1.0;1.0;0.3333333333333333;0.0;0.0;39.66666666666666;39.66666666666666;0.160104658472569;-5.78217513050309;11.0;0.0;7.0;6.833333333333333;0.0;3.0;0.0;3.0;4.0;0.0;0.0;5.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.75;0.0;0.0;0.875;1.0;
2;Albert Ziegler verhängte gegen das deutsche Bundeskartellamt, gegen die Rosenbauer-Gruppe und die Schlingmann GmbH & Co wegen verbotener Preis- und Quotenabsprachen Bußgelder in Höhe von insgesamt 20,5 Mio. Euro sowie weitere 17,5 Mio. Euro gegen den Mitbewerber Iveco Magirus. Der Insolvenzverwalter Bruno Kübler aus Giengen wurde mit den zwölf Tochtergesellschaften für 55 Millionen Euro an die China International Marine Containers Group (CIMC) mit Sitz in Shenzhen verkauft.;2.411764705882353;1.7058823529411764;3.176470588235294;2.3529411764705883;13.8;36.231884057971016;1.884057971014493;52.17391304347826;20.28985507246377;2373.782608695652;8.35163536231884;9.046102028985509;10.804044927536234;12.084845217391308;14.637088151903349;16.14202898550725;17.282234824616676;5.797101449275362;0.8253968253968254;6.551384198826605;4.632528193148689;101.0290909090909;0.9536845841416234;0.96663815306322;0.0111788341236769;70.54673721340387;0.007168458781362;0.8260869565217391;57.0;0.2467532467532467;0.0;0.0389610389610389;0.0389610389610389;0.0129870129870129;0.4415584415584415;0.2727272727272727;0.1558441558441558;0.0129870129870129;0.0389610389610389;0.0909090909090909;0.5324675324675324;0.2987012987012987;0.0519480519480519;0.0;0.1168831168831168;0.0;0.0;0.0;0.0;0.0;0.0;0.0779220779220779;0.0779220779220779;0.0;0.0909090909090909;0.0129870129870129;0.0;0.0129870129870129;0.0;0.0;0.957347434190851;5.0;0.7560975609756098;0.0975609756097561;0.073170731707317;0.024390243902439;0.073170731707317;0.0;0.0;0.3170731707317073;0.073170731707317;8.5;0.75;0.0;0.0;0.3333333333333333;0.0;0.0;1.0;0.0;1.0;0.0;0.6666666666666666;0.4117647058823529;0.2058823529411764;0.0294117647058823;0.3235294117647059;11.255554184490428;0.0;0.5;0.75;0.088235294117647;3.0;0.0;118.5;118.5;0.3149091851146405;-2.097726026831675;8.333333333333334;9.0;8.5;9.615384615384617;6.333333333333333;3.4166666666666665;3.6666666666666665;3.0;3.75;0.0;0.0;7.333333333333333;1.0;1.0;1.0;0.9230769230769232;1.0;0.9047619047619048;0.9473684210526316;0.6666666666666666;1.0;0.6666666666666666;0.5714285714285714;0.0;0.0;0.6521739130434783;0.5;
1;Als er Ende 1947 aus der Gefangenschaft nach Westdeutschland entlassen wurde, gehörten Oberlind und Sonneberg schon seit zwei Jahren zur sowjetischen Besatzungszone. Tankred Dorst holte in Lüdinghausen das Abitur nach und begann 1950 mit dem Studium der Germanistik und Kunstgeschichte.;4.552631578947368;3.421052631578948;4.421052631578948;3.4473684210526314;13.333333333333334;40.0;1.825;60.0;30.0;2293.2375;10.385333333333334;11.178666666666668;13.819;14.875333333333334;21.19438992294339;17.848000000000003;35.333333333333336;6.1;0.8947368421052632;5.515528318445926;3.9000674757995495;101.08000000000004;0.9694232300689778;0.9759517510412328;0.0084057857569268;69.2520775623269;0.0071123755334281;0.9;36.0;0.3181818181818182;0.0;0.0227272727272727;0.1136363636363636;0.0227272727272727;0.3181818181818182;0.1363636363636363;0.1590909090909091;0.0227272727272727;0.0681818181818181;0.1136363636363636;0.4772727272727273;0.4090909090909091;0.0681818181818181;0.0;0.0681818181818181;0.0227272727272727;0.0;0.0;0.0227272727272727;0.0;0.0;0.1590909090909091;0.0227272727272727;0.0;0.1136363636363636;0.0681818181818181;0.0;0.0681818181818181;0.0;0.0;0.971438341380246;5.0;0.6666666666666666;0.0952380952380952;0.0476190476190476;0.0476190476190476;0.238095238095238;0.0;0.0;0.3809523809523809;0.238095238095238;7.0;2.5;0.0;0.0;0.2;0.0;0.0;1.0;0.0;1.0;0.0;0.8;0.1428571428571428;0.4285714285714285;0.1428571428571428;0.2857142857142857;2.0;0.5;0.25;2.5;0.3571428571428571;5.0;14.0;142.0;142.0;0.2297635060960156;-2.3471329355311674;12.0;5.0;7.0;9.625;9.333333333333334;3.142857142857143;3.0;3.0;4.0;0.0;2.0;6.6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8571428571428571;1.0;0.5;0.6;0.0;1.0;0.7222222222222222;0.25;
3;Am 8. November 2013 wurde Ziegler mit den zwölf Tochtergesellschaften für 55 Millionen Euro an die China International Marine Containers Group mit Sitz in Shenzhen verkauft. Unter dem neuen Geschäftsführer Günther Ziegler begann das Unternehmen 1953 mit dem Bau von Feuerwehrfahrzeugen.;3.941176470588236;3.794117647058824;3.911764705882353;3.147058823529412;10.25;36.58536585365854;1.853658536585366;56.09756097560976;19.51219512195122;1736.560975609756;7.525141463414634;8.21353780487805;9.772990853658538;10.700692682926828;15.746445784044532;16.16195121951219;23.13628792385485;5.926829268292683;0.8918918918918919;5.425166581076791;3.836172078546036;95.83;0.968315438360668;0.974923417923408;0.0087746557539797;73.04601899196489;0.0075075075075075;0.902439024390244;37.0;0.2222222222222222;0.0;0.0222222222222222;0.0666666666666666;0.0;0.4;0.2444444444444444;0.2;0.0222222222222222;0.0;0.1333333333333333;0.4888888888888889;0.3555555555555555;0.1111111111111111;0.0;0.0666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0888888888888888;0.0666666666666666;0.0;0.1333333333333333;0.0222222222222222;0.0;0.0222222222222222;0.0;0.0;0.9723570319314724;5.0;0.7727272727272727;0.0454545454545454;0.0454545454545454;0.0;0.1363636363636363;0.0;0.0;0.3181818181818182;0.1363636363636363;9.0;1.5;0.0;0.0;0.3333333333333333;0.0;0.0;1.0;0.0;1.0;0.0;0.6666666666666666;0.3888888888888889;0.5;0.0;0.1111111111111111;9.030811456096044;0.0;0.5;1.5;0.1666666666666666;0.0;0.0;94.33333333333331;94.33333333333331;0.2297635060960156;-2.3471329355311674;5.0;0.0;7.0;11.714285714285714;7.272727272727272;2.888888888888889;0.0;3.0;3.2;0.0;0.0;6.333333333333333;1.0;0.0;1.0;1.0;1.0;0.9090909090909092;1.0;0.6666666666666666;1.0;0.0;0.6666666666666666;0.0;0.0;0.6875;0.5;
2;Bacillus Enteritidis Gärtner war ein Hygieniker und Hygieniker im Dienst des Kaiserlich Biologischen Anstaltenverbundes.;3.216216216216216;3.675675675675676;3.6486486486486487;3.0;7.0;64.28571428571429;2.5;42.85714285714285;50.0;1113.75;16.906828571428573;18.02068571428572;23.06207142857143;25.617771428571427;31.69283137389441;24.491428571428568;145.65714285714287;7.571428571428571;0.9285714285714286;3.474396144861517;2.456769074559977;54.88000000000004;0.9719187714029216;0.9706487971737798;0.0106406284857678;102.0408163265306;0.0109890109890109;0.9285714285714286;13.0;0.1875;0.0;0.0;0.0625;0.0;0.5625;0.375;0.0625;0.0625;0.0625;0.1875;0.625;0.375;0.0;0.0;0.0625;0.0;0.0;0.0;0.0;0.0;0.0;0.1875;0.0;0.0625;0.125;0.0;0.0;0.0;0.0;0.0;0.9719187714029216;3.0;0.8;0.0;0.0;0.0;0.1;1.0;0.0;0.3;0.1;9.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.1111111111111111;0.3333333333333333;0.5555555555555556;0.0;0.0;0.0;1.0;0.1111111111111111;0.0;0.0;119.0;119.0;0.1837164354446064;-4.287706008190071;0.0;0.0;0.0;8.666666666666666;11.0;2.0;3.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.6666666666666666;1.0;1.0;0.6666666666666666;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;
6;"Bansin ist ein Ortsteil der Gemeinde Heringsdorf im Landkreis Nordsachsen. Er wurde am 1. Januar 1994 nach Wolgast-Fähr eingemeindet und bildet mit dem benachbarten Ortsteil Heringsdorf den eigenen Ortsteil""Usedom-Süd"".";4.8125;4.0;5.1875;3.375;8.0;50.0;1.78125;50.0;21.875;1335.796875;9.5454125;10.3499125;12.387125;14.3173;16.488562061119826;14.310000000000002;30.543750000000003;5.75;0.8928571428571429;4.72455591261534;3.3407655239053047;73.17333333333337;0.9659898769835576;0.9712521237667612;0.0102064933027337;102.04081632653066;0.0105820105820105;0.90625;29.0;0.25;0.0;0.075;0.1;0.0;0.35;0.225;0.1;0.05;0.025;0.15;0.525;0.35;0.025;0.0;0.15;0.025;0.0;0.0;0.025;0.0;0.0;0.125;0.0;0.025;0.125;0.025;0.0;0.0;0.025;0.0;0.9787785310260572;4.0;0.5238095238095238;0.1428571428571428;0.1428571428571428;0.0;0.1904761904761904;0.25;0.0;0.238095238095238;0.1904761904761904;7.0;2.0;0.0;0.0;0.25;0.0;0.6666666666666666;0.3333333333333333;0.0;1.0;0.0;0.75;0.2142857142857142;0.5;0.1428571428571428;0.1428571428571428;5.734883511361751;0.5;1.0;2.0;0.2857142857142857;0.0;14.0;72.0;72.0;0.1813231119364134;-6.501304102807622;7.0;0.0;9.0;8.2;7.222222222222222;2.75;3.0;3.0;4.0;0.0;2.0;6.5;1.0;0.0;1.0;0.6;1.0;0.8888888888888888;0.8;1.0;1.0;1.0;0.6666666666666666;0.0;1.0;0.8571428571428571;1.0;
2;"Bianca Ursula ist eine irische Sängerin und Schauspielerin. Bei ""America's Got Talent"" erhielt sie den Durchbruch und errang ihr jährlich den zweiten Platz.";2.0303030303030303;3.575757575757576;3.212121212121212;2.6666666666666665;8.0;50.0;1.75;50.0;16.666666666666664;1337.625;8.5376;9.3046;10.842333333333332;12.888133333333332;16.594172100314452;12.105;30.97777777777777;5.375;0.9166666666666666;4.4907311951024935;3.1754264805429417;80.63999999999997;0.9726211758407808;0.9759912194385691;0.0086149655168747;69.44444444444447;0.0072463768115942;0.9166666666666666;22.0;0.3214285714285714;0.0;0.1071428571428571;0.1071428571428571;0.0;0.3214285714285714;0.1785714285714285;0.0357142857142857;0.0357142857142857;0.0714285714285714;0.1071428571428571;0.5357142857142857;0.3214285714285714;0.0;0.0;0.1428571428571428;0.0714285714285714;0.0;0.0;0.0714285714285714;0.0;0.0;0.1428571428571428;0.0;0.0357142857142857;0.0714285714285714;0.0714285714285714;0.0;0.0714285714285714;0.0;0.0;0.9709864627580668;3.0;0.6;0.2;0.2;0.0;0.2;0.3333333333333333;0.0;0.2666666666666666;0.2;4.5;1.5;0.0;0.0;0.0;0.0;0.3333333333333333;0.6666666666666666;0.0;1.0;0.0;1.0;0.2222222222222222;0.0;0.0;0.4444444444444444;4.0;1.0;0.5;1.5;0.3333333333333333;0.0;4.5;77.0;77.0;0.222251123829432;-4.436042895077823;7.333333333333333;0.0;6.5;9.25;5.6;3.0;3.0;3.333333333333333;0.0;0.0;3.0;5.333333333333333;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.6666666666666666;0.0;1.0;0.7777777777777778;0.5;
4;Carl Friedrich Weber war ein deutscher Nationalökonom und Soziologe. Er war Ende des 20. Jahrhunderts einer der bekanntesten Vertreter des deutschen Nationalkonservativen Widerstandes gegen Max Brod und Friedrich Weltschäftigen Einsatzgruppen und trat für die Gründung der Partei ein.;2.8125;2.4375;2.875;2.4375;9.5;39.47368421052632;2.026315789473684;52.63157894736842;23.684210526315788;1591.4605263157896;8.694978947368421;9.43426842105263;11.46975;12.583726315789477;17.0300472888115;18.84;28.730747922437672;6.421052631578948;0.8108108108108109;4.931969619160719;3.4874291623145783;54.76000000000002;0.9419204379452388;0.9533985676272332;0.0160844315655545;116.87363038714392;0.012012012012012;0.8157894736842105;31.0;0.3414634146341463;0.024390243902439;0.073170731707317;0.073170731707317;0.024390243902439;0.4146341463414634;0.1951219512195122;0.048780487804878;0.048780487804878;0.073170731707317;0.1707317073170731;0.5853658536585366;0.3658536585365853;0.024390243902439;0.0;0.073170731707317;0.024390243902439;0.0;0.0;0.024390243902439;0.0;0.0;0.1463414634146341;0.073170731707317;0.048780487804878;0.1219512195121951;0.024390243902439;0.0;0.024390243902439;0.0;0.0;0.952757062133867;3.0;0.6666666666666666;0.1666666666666666;0.125;0.0416666666666666;0.0833333333333333;0.6666666666666666;0.0;0.375;0.125;5.666666666666667;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.4117647058823529;0.0;0.2352941176470588;0.3529411764705882;8.178562764256865;0.3333333333333333;2.0;1.0;0.1764705882352941;3.0;17.0;93.66666666666669;93.66666666666669;0.3079505177176759;-1.9635378567034167;10.0;3.0;4.0;9.77777777777778;8.625;4.0;3.0;3.2857142857142856;2.0;0.0;2.0;3.333333333333333;1.0;1.0;1.0;1.0;0.6666666666666666;0.875;1.0;1.0;0.5;0.3333333333333333;0.7142857142857143;0.0;1.0;0.6666666666666666;2.0;
2;"Charles L. Tighe war ein US-amerikanischer Politiker. Zwischen 1965 und 1969 war er Vizegouverneur des Bundesstaates North Dakota. Ausserdem war er auch für seine Amtszeit als""Vater der Demokratischen Partei"" bekannt.";5.3125;5.625;5.4375;4.9375;6.4;37.5;1.90625;59.375;21.875;1040.484375;7.350080000000002;8.0589175;9.7320125;10.278589999999998;15.078166124597352;12.833749999999998;29.90375;5.65625;0.896551724137931;4.828078792603349;3.4139672543527864;78.49333333333335;0.9675706271505612;0.9728468943008584;0.0096306872002894;95.12485136741974;0.0098522167487684;0.90625;29.0;0.2368421052631578;0.0526315789473684;0.0526315789473684;0.0789473684210526;0.0526315789473684;0.3421052631578947;0.2105263157894736;0.0789473684210526;0.0789473684210526;0.0263157894736842;0.1052631578947368;0.5263157894736842;0.3421052631578947;0.0526315789473684;0.0;0.1578947368421052;0.0526315789473684;0.0;0.0;0.0526315789473684;0.0;0.0;0.131578947368421;0.0;0.0263157894736842;0.0526315789473684;0.0;0.0;0.0;0.0;0.0;0.9690225224134634;3.0;0.65;0.2;0.1;0.1;0.05;1.0;0.0;0.25;0.15;4.333333333333333;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0769230769230769;0.0;0.3846153846153846;0.5384615384615384;4.301162633521313;0.6666666666666666;0.0;1.0;0.2307692307692307;1.5;6.5;53.25;53.25;0.2875008263540904;-0.632753328470421;10.5;6.5;0.0;9.8;5.875;4.666666666666667;3.0;3.5;4.0;0.0;2.0;3.0;1.0;1.0;0.0;1.0;0.3333333333333333;1.0;1.0;1.0;0.3333333333333333;1.0;1.0;0.0;0.5;0.7692307692307693;0.0;
