Feature Name;Type
noun_phrases_per_sentence_count;Extra German Syntactic Features
verb_phrases_per_sentence_count;Extra German Syntactic Features
haben_to_verb_ratio;German Language
noun_token_ratio;German Language
sein_to_verb_ratio;German Language
verb_token_ratio;German Language
noun_ttr;lexical features
content_word_distribution;lexical features
yule's k;lexical richness
simpson's d;lexical richness
herdan's lexical diversity measure;lexical richness
summer's lexical diversity measure;lexical richness
maas's lesical diversoty measure;lexical richness
unique_tokens_count;lexical richness
adjective_ttr;lexical richness
adposition_ttr;lexical richness
adverb_ttr;lexical richness
aux_ttr;lexical richness
bilog_type_token_ratio;lexical richness
conjunction_ttr;lexical richness
cttr;lexical richness
determiner_ttr;lexical richness
grammatical_item_ttr;lexical richness
lexical_item_ttr;lexical richness
lexical_verb_ttr;lexical richness
particle_ttr;lexical richness
pronoun_ttr;lexical richness
proper_noun_ttr;lexical richness
verb_ttr;lexical richness
zipf_goodness_fit;lexical richness
zipf_steepness_curve;lexical richness
adj_variation;lexical richness
adv_variation;lexical richness
lexical_density;lexical richness
modifier_variation;lexical richness
noun_variation;lexical richness
rttr;lexical richness
type_token_ratio;lexical richness
uber_index;lexical richness
verb_variation2;lexical richness
percentage of words with 6 or more letters;morphological
accusative_nouns_to_nouns_ratio;morphological
dative_nouns_to_nouns_ratio;morphological
genitive_nouns_to_nouns_ratio;morphological
nominative_nouns_to_nouns_ratio;morphological
finite_verbs_to_verbs_ratio;morphological
first_person_verbs_to_finite_verbs_ratio;morphological
imperative_verbs_to_verbs_ratio;morphological
infinitive_verbs_to_verbs_ratio;morphological
participle_verbs_to_verbs_ratio;morphological
past_tense_verbs_to_finite_verbs_ratio;morphological
present_tense_verbs_to_finite_verbs_ratio;morphological
second_person_verbs_to_finite_verbs_ratio;morphological
subjunctive_verbs_to_finite_verbs_ratio;morphological
third_person_verbs_to_finite_verbs_ratio;morphological
avg_adposition_length;morphological
avg_adverb_length;morphological
avg_aux_length;morphological
avg_conjunction_length;morphological
avg_determiner_length;morphological
avg_lexical_verb_length;morphological
avg_noun_length;morphological
avg_numeral_length;morphological
avg_particle_length;morphological
avg_pronoun_length;morphological
avg_proper_noun_length;morphological
avg_verb_length;morphological
conjunction_count;morphological
definite_word_count;morphological
demonstrative_count;morphological
determiners_count;morphological
first_person_pronoun_count;morphological
grammatical_item_count;morphological
indefinite_word_count;morphological
interrogative_count;morphological
lexical_item_count;morphological
noun_count;morphological
numeral_count;morphological
particle_count;morphological
perc_monosyllabic_words;morphological
perc_words_3_or_more_syllables;morphological
personal_pronoun_count;morphological
plural_word_count;morphological
proper_noun_count;morphological
second_person_pronoun_count;morphological
singular_word_count;morphological
third_person_pronoun_count;morphological
verb_count;morphological
adposition_count;morphological
adverb_count;morphological
aux_to_verb_ratio;morphological
aux_verb_count;morphological
avg_adjective_length;morphological
gunning_fog_index;readability
coleman_liau_index;readability
wiener_sachtextformel_1;readability
wiener_sachtextformel_2;readability
wiener_sachtextformel_3;readability
wiener_sachtextformel_4;readability
avg_sentence_length_in_words;readability
avg_word_length_in_characters;readability
avg_word_length_in_syllables;readability
flesch_reading_ease;readability
smog_index;readability
adjective_count;syntactic
verb_to_adverb_ratio;syntactic
infinitive_verb_count;syntactic
avg_sentence_length_in_characters;syntactic
characters_per_sentence_count;syntactic
foreign_words_count;syntactic
noun_to_pronoun_ratio;syntactic
present_tense_count;syntactic
finite_verb_count;syntactic
passive_voice_count;syntactic
past_tense_count;syntactic
pronouns_per_sentence_count;syntactic
punctuation_count;syntactic
std-dev_tokens_per_sentence;syntactic
verb_to_noun_ratio;syntactic
verbs_per_sentence_count;syntactic
other lexical richness measures;
